City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,10.41,58,90,9.93,SH,1696201036
1,klyuchi,52.2667,79.1667,5.45,90,0,2.57,RU,1696201037
2,enterprise,36.0252,-115.2419,23.16,31,75,1.54,US,1696201037
3,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,100,100,4.0,RU,1696201037
4,adamstown,-25.066,-130.1015,20.4,82,11,11.34,PN,1696201037
5,isafjordur,66.0755,-23.124,5.77,93,100,11.17,IS,1696200849
6,ebaye,8.7748,167.7392,31.01,70,0,4.12,MH,1696201037
7,vaxjo,56.8777,14.8091,9.03,100,37,2.57,SE,1696201037
8,mantua,45.1667,10.7833,18.58,85,1,0.45,IT,1696201037
9,chonchi,-42.6128,-73.8092,7.56,98,100,0.64,CL,1696201037
10,waitangi,-43.9535,-176.5597,14.34,87,71,4.47,NZ,1696201038
11,qaqortoq,60.7167,-46.0333,2.43,83,100,1.98,GL,1696201038
12,grytviken,-54.2811,-36.5092,3.46,79,1,5.01,GS,1696200837
13,constantia,44.1833,28.65,16.5,51,79,8.41,RO,1696201038
14,taoudenni,22.6783,-3.9836,33.7,12,61,3.21,ML,1696201038
15,puerto natales,-51.7236,-72.4875,2.53,72,32,5.15,CL,1696201038
16,al ghayzah,16.2079,52.176,25.95,87,49,1.08,YE,1696201038
17,hermanus,-34.4187,19.2345,12.96,73,3,3.5,ZA,1696201038
18,tieling,42.2931,123.8414,11.62,73,0,1.98,CN,1696201038
19,port lincoln,-34.7333,135.8667,16.48,62,0,5.1,AU,1696201039
20,brisas de zicatela,15.8369,-97.0419,31.29,58,75,1.54,MX,1696201039
21,vernal,40.4555,-109.5287,12.84,71,100,4.12,US,1696201039
22,blackmans bay,-43.0167,147.3167,13.18,62,72,3.81,AU,1696201039
23,flin flon,54.7682,-101.865,5.91,93,100,3.6,CA,1696200785
24,badger,64.8,-147.5333,10.14,55,100,0.0,US,1696201039
25,kodiak,57.79,-152.4072,9.73,76,100,5.14,US,1696200846
26,invercargill,-46.4,168.35,13.9,67,63,4.02,NZ,1696201039
27,guerrero negro,27.9769,-114.0611,23.04,58,28,7.3,MX,1696200851
28,mil'kovo,55.6078,37.7956,10.55,78,100,2.73,RU,1696201039
29,yuzhno-kurilsk,44.0306,145.8556,14.1,91,22,3.36,RU,1696201040
30,kashgar,39.4547,75.9797,17.56,29,40,5.0,CN,1696201040
31,grand falls-windsor,48.9332,-55.6649,15.28,75,20,3.35,CA,1696201040
32,fort mcmurray,56.7268,-111.381,13.77,54,75,5.66,CA,1696201040
33,novodvinsk,64.4165,40.8122,9.32,95,66,2.92,RU,1696201040
34,anna regina,7.2644,-58.5077,28.39,76,99,4.54,GY,1696201040
35,bredasdorp,-34.5322,20.0403,10.24,88,1,1.33,ZA,1696201040
36,port-aux-francais,-49.35,70.2167,6.21,91,100,19.22,TF,1696201040
37,langzhong,31.5504,105.9938,17.97,95,100,1.53,CN,1696201041
38,rozhyshche,50.9154,25.2691,12.98,88,51,3.27,UA,1696201041
39,hamilton,39.1834,-84.5333,28.02,53,0,4.12,US,1696200386
40,nemuro,43.3236,145.575,15.08,83,27,3.52,JP,1696201041
41,olonkinbyen,70.9221,-8.7187,-0.04,85,100,6.37,SJ,1696201041
42,znamenskoye,57.1281,73.8282,5.0,97,15,2.42,RU,1696201041
43,saipan,15.1355,145.701,28.39,89,40,4.63,MP,1696201041
44,wucheng,29.6008,118.175,19.28,89,34,1.2,CN,1696201041
45,ilulissat,69.2167,-51.1,-8.07,79,7,2.66,GL,1696201041
46,al bardiyah,31.7561,25.0865,22.93,67,0,4.39,LY,1696201042
47,san patricio,28.017,-97.5169,30.1,63,78,6.6,US,1696201042
48,ushuaia,-54.8,-68.3,3.81,48,75,4.63,AR,1696200991
49,yellowknife,62.456,-114.3525,8.56,96,100,6.17,CA,1696201042
50,puerto ayora,-0.7393,-90.3518,29.98,93,96,2.24,EC,1696201042
51,kone,-21.0595,164.8658,24.28,53,51,4.79,NC,1696201042
52,ilha de mocambique,-15.0342,40.7358,24.35,83,2,4.45,MZ,1696200968
53,ulladulla,-35.35,150.4667,18.2,59,88,3.13,AU,1696201042
